
[1mRooFit v3.60 -- Developed by Wouter Verkerke and David Kirkby[0m 
                Copyright (C) 2000-2013 NIKHEF, University of California & Stanford University
                All rights reserved, please read http://roofit.sourceforge.net/license.txt

 10 ./Templater
 10 -in
 10 -ss
 10 -conf
 10 -flag
 10 -ff
Configuring
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 0 :: for param :: applyTauCut
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 0 :: for param :: applyBMCut
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 1 :: for param :: applyIsoCut
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 20 :: for param :: nBinsMass
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 11 :: for param :: nBinsQsq
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 10 :: for param :: nBinsEmu
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 20 :: for param :: nBinsMMsq
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 0 :: for param :: doPhiPi
Setting output 
 Entering Do Template 
-------------------------
Set LHCb Style - Feb 2012
-------------------------
Going to write output file :: output/RootOutp_MCAll_bin0_NorBIsoPIDCut_SameSign_Weight.root
 /afs/cern.ch/user/r/rvazquez/RDS/DaVinciDev_v41r3/Phys/BsDsMuNuForRDS/src/DsMass_WithSWeighted_Dsst_SS_CB.root
TFile**		/afs/cern.ch/user/r/rvazquez/RDS/DaVinciDev_v41r3/Phys/BsDsMuNuForRDS/src/DsMass_WithSWeighted_Dsst_SS_CB.root	
 TFile*		/afs/cern.ch/user/r/rvazquez/RDS/DaVinciDev_v41r3/Phys/BsDsMuNuForRDS/src/DsMass_WithSWeighted_Dsst_SS_CB.root	
  KEY: TTree	DecayTree;1	tree with weights
nentries = 5696
With weight = ( McorrDsst > 3000 && McorrDsst < 8000 && (Ds_MM>1940 && Ds_MM<2000) && sq > 0. && (Bs_0_Hlt2XcMuXForTauB2XcMuDecision_TOS == 1)  && ( mu_PIDmu > 0) && (mu_iso_MinBDT_Long>-0.5) )*sigw
5696
--- ... Processing event: 0
mass 3423.63, q2 5.19095e+06
mass 4762.64, q2 1.03836e+07
mass 5028.23, q2 3.18437e+06
mass 4049.63, q2 152379
mass 3089.53, q2 5.48302e+06
mass 3848.81, q2 2.10944e+06
mass 4579.63, q2 1.11844e+06
mass 3529.88, q2 9.86812e+06
mass 3538.86, q2 893438
mass 3182.71, q2 1.51668e+06
mass 3459.63, q2 2.54107e+06
mass 3449.64, q2 8.0872e+06
mass 3211.65, q2 8.14655e+06
mass 4703.54, q2 7.31243e+06
mass 3524.21, q2 1.19132e+06
mass 3854.59, q2 1.06186e+07
mass 5301.23, q2 1.01292e+07
mass 5313.34, q2 5.90628e+06
mass 4228.58, q2 2.3387e+06
mass 4003.14, q2 9.61298e+06
mass 4161.74, q2 1.03443e+07
mass 5012.11, q2 3.86304e+06
mass 4568.36, q2 1.80502e+06
mass 3557.67, q2 392294
mass 3913.6, q2 1.054e+07
mass 3938.49, q2 9.86764e+06
mass 3775.56, q2 1.98112e+06
mass 4139.14, q2 2.25615e+06
mass 4189.28, q2 2.08076e+06
mass 3951.59, q2 9.79247e+06
mass 5074.86, q2 7.84001e+06
mass 4638.01, q2 9.92265e+06
mass 3279.7, q2 4.25578e+06
mass 3304.71, q2 4.95685e+06
mass 3572.22, q2 1.95379e+06
mass 4121.61, q2 6.39051e+06
mass 4397.74, q2 1.71046e+06
mass 3412.07, q2 5.87893e+06
mass 3523.76, q2 7.68217e+06
mass 4314.72, q2 1.12091e+06
mass 5212.1, q2 1.05679e+06
mass 3816.08, q2 9.7022e+06
mass 3956.24, q2 2.50883e+06
mass 4171.34, q2 1.02159e+07
mass 3269.37, q2 5.06335e+06
mass 3713.31, q2 2.25234e+06
mass 3914.17, q2 1.05035e+07
mass 4383.55, q2 502003
mass 4007.96, q2 5.28145e+06
mass 3238.75, q2 3.09527e+06
mass 3978.24, q2 4.26887e+06
mass 4156.85, q2 5.26172e+06
mass 5269.8, q2 9.43609e+06
mass 4777.95, q2 1.94115e+06
mass 4013.29, q2 4.49032e+06
mass 3875.52, q2 6.87972e+06
mass 4861.31, q2 9.69263e+06
mass 3985.27, q2 1.0312e+07
mass 3266.96, q2 888559
mass 3535.97, q2 6.35205e+06
mass 5048.15, q2 6.77012e+06
mass 3119.78, q2 7.62799e+06
mass 4454.29, q2 738391
mass 3489.64, q2 8.29242e+06
mass 3687.73, q2 4.56444e+06
mass 3142.43, q2 1.39899e+06
mass 3219.53, q2 8.69187e+06
mass 3691.43, q2 4.8362e+06
mass 3244.49, q2 942215
mass 3825.49, q2 5.123e+06
mass 4304.95, q2 1.08516e+06
mass 4026.03, q2 3.12966e+06
mass 3377.95, q2 1.93176e+06
mass 3594.7, q2 2.12416e+06
mass 3086.37, q2 1.47974e+06
mass 3694.74, q2 1.69341e+06
mass 5324.25, q2 6.30021e+06
mass 3867.3, q2 1.03644e+07
mass 3213.21, q2 9.16499e+06
mass 4333.38, q2 1.27226e+06
mass 4880.63, q2 8.83596e+06
mass 3262.2, q2 7.69664e+06
mass 3359.81, q2 1.46299e+06
mass 3242.27, q2 5.88642e+06
mass 3788.5, q2 4.55221e+06
mass 3801.37, q2 1.01828e+07
mass 3499.7, q2 6.85632e+06
mass 4099.2, q2 7.88493e+06
mass 3456.57, q2 1.28421e+06
mass 3360.63, q2 1.06133e+06
mass 3981.58, q2 2.73541e+06
