
[1mRooFit v3.60 -- Developed by Wouter Verkerke and David Kirkby[0m 
                Copyright (C) 2000-2013 NIKHEF, University of California & Stanford University
                All rights reserved, please read http://roofit.sourceforge.net/license.txt

 10 ./Templater
 10 -in
 10 -conf
 10 -flag
 10 -mc
 10 -ff
Configuring
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 0 :: for param :: applyTauCut
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 0 :: for param :: applyBMCut
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 1 :: for param :: applyIsoCut
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 20 :: for param :: nBinsMass
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 11 :: for param :: nBinsQsq
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 10 :: for param :: nBinsEmu
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 20 :: for param :: nBinsMMsq
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 0 :: for param :: doPhiPi
Setting output 
 Entering Do Template 
-------------------------
Set LHCb Style - Feb 2012
-------------------------
Going to write output file :: output/RootOutp_MCAll_bin0_NorBIsoPIDCutBsDsDs_Weight.root
 /afs/cern.ch/user/r/rvazquez/RDS/DaVinciDev_v41r3/Phys/BsDsMuNuForRDS/src/DsMass_WithSWeighted_Dsst_BsDD_NoCL_CB_Sim09b.root
TFile**		/afs/cern.ch/user/r/rvazquez/RDS/DaVinciDev_v41r3/Phys/BsDsMuNuForRDS/src/DsMass_WithSWeighted_Dsst_BsDD_NoCL_CB_Sim09b.root	
 TFile*		/afs/cern.ch/user/r/rvazquez/RDS/DaVinciDev_v41r3/Phys/BsDsMuNuForRDS/src/DsMass_WithSWeighted_Dsst_BsDD_NoCL_CB_Sim09b.root	
  KEY: TTree	DecayTree;1	tree with weights
nentries = 2986
With weight = ( McorrDsst > 3000 && McorrDsst < 8000 && (Ds_MM>1940 && Ds_MM<2000) && sq > 0. && ( Kpl_P>5000 && Kmi_P>5000 && pi_P>5000 && (Kpl_PT>800 || Kmi_PT>800 || pi_PT>800) && Ds_PT>2000 && Bs_0_BDTS_DOCA<0.50 && Bs_0_FDCHI2_TOPPV>50 && 1940<Ds_MM && 2000>Ds_MM  )  && ( mu_PIDmu > 0) && (mu_iso_MinBDT_Long>-0.5) )*sigw
2986
--- ... Processing event: 0
mass 4096.85, q2 3.45615e+06
mass 4469.02, q2 1.67065e+06
mass 4782.82, q2 6.05355e+06
mass 3899.12, q2 2.09228e+06
mass 3739.06, q2 3.53381e+06
mass 4561.88, q2 2.34354e+06
mass 5278.07, q2 5.53087e+06
mass 5586.15, q2 1.9724e+06
mass 5253.8, q2 2.21836e+06
mass 4735.1, q2 3.05838e+06
mass 4433.51, q2 2.97002e+06
mass 5242.96, q2 3.15329e+06
mass 4160.79, q2 1.42351e+06
mass 4111.22, q2 1.16922e+06
mass 4158.85, q2 5.53882e+06
mass 4434.81, q2 1.41201e+06
mass 4289.72, q2 1.76342e+06
mass 4847.94, q2 2.07466e+06
mass 4241.9, q2 1.05515e+07
mass 4574.72, q2 2.93955e+06
mass 4392.73, q2 3.4043e+06
mass 3922.65, q2 7.49927e+06
mass 4912.48, q2 1.43445e+06
mass 5077.41, q2 3.49255e+06
mass 3887.81, q2 1.81968e+06
mass 5124.57, q2 441633
mass 3700.33, q2 4.63324e+06
mass 3784.11, q2 2.50127e+06
mass 4029.41, q2 4.12253e+06
mass 5083.23, q2 3.87204e+06
mass 4801.25, q2 7.22421e+06
mass 4776.32, q2 1.9831e+06
mass 4129.12, q2 6.91815e+06
mass 5943.08, q2 4.22426e+06
mass 4142.58, q2 4.15155e+06
mass 4832.46, q2 5.58969e+06
mass 4462.73, q2 2.24994e+06
mass 5297.22, q2 3.03613e+06
mass 4275.03, q2 586136
mass 3863.4, q2 333064
mass 3291.78, q2 1.56988e+06
mass 4415.95, q2 2.65676e+06
mass 4149.32, q2 2.60878e+06
mass 3429.34, q2 4.30087e+06
mass 3843.93, q2 572720
mass 4901.83, q2 245515
mass 4822.82, q2 4.10904e+06
mass 4270.51, q2 3.718e+06
mass 3877.2, q2 2.16503e+06
mass 3489.77, q2 2.07105e+06
mass 5240.81, q2 4.23571e+06
mass 3558.79, q2 2.02696e+06
mass 4322.46, q2 5.3616e+06
mass 5537.83, q2 973077
mass 3634.22, q2 5.42219e+06
mass 4063.85, q2 1.31586e+06
mass 4508.38, q2 2.80979e+06
mass 3994.98, q2 1.75414e+06
mass 3602.18, q2 1.45219e+06
mass 4938.63, q2 1.92298e+06
mass 4705.83, q2 1.72715e+06
mass 5461.31, q2 138058
mass 4471.96, q2 2.78358e+06
mass 4866.03, q2 4.14952e+06
mass 3859.47, q2 3.40643e+06
mass 5482.43, q2 1.99539e+06
mass 4335.22, q2 4.07744e+06
mass 5188.5, q2 1.4958e+06
mass 3873.15, q2 2.51753e+06
mass 4838.09, q2 3.80781e+06
mass 4450.25, q2 3.17568e+06
mass 5109.15, q2 933180
mass 4464.32, q2 3.11888e+06
mass 4655.03, q2 1.54425e+06
mass 3526.46, q2 3.85024e+06
mass 5365.74, q2 2.00162e+06
mass 4685.67, q2 2.4399e+06
mass 4462.72, q2 3.44631e+06
mass 5661.54, q2 4.12774e+06
mass 3655.19, q2 3.24725e+06
mass 4194.81, q2 3.28458e+06
mass 3401.35, q2 4.36407e+06
mass 4465.19, q2 4.83258e+06
mass 4312.48, q2 2.63475e+06
mass 4323.55, q2 668030
mass 5053.55, q2 6.74261e+06
mass 4424.71, q2 1.5477e+06
mass 5241.65, q2 923039
mass 4093.46, q2 1.75165e+06
mass 3924.89, q2 5.03543e+06
mass 4424.92, q2 1.72704e+06
mass 4953.85, q2 3.88914e+06
mass 4686.57, q2 4.76637e+06
mass 3686.08, q2 2.97811e+06
mass 4330.69, q2 1.20443e+06
mass 4807.11, q2 1.63848e+06
mass 4664.94, q2 5.27073e+06
mass 4254.74, q2 4.60936e+06
mass 4698.62, q2 1.61559e+06
mass 4500.35, q2 5.8436e+06
mass 3212.51, q2 1.0219e+06
mass 5524.6, q2 2.9202e+06
mass 4180.29, q2 3.73938e+06
mass 3959.66, q2 915143
mass 4862.25, q2 4.89634e+06
mass 4071.6, q2 2.73711e+06
mass 4831.09, q2 6.1162e+06
mass 4435.53, q2 3.72797e+06
mass 4878.47, q2 1.26357e+06
mass 4675.13, q2 1.78749e+06
mass 3219.93, q2 1.7746e+06
mass 4525.31, q2 1.77739e+06
mass 4028.83, q2 1.12808e+06
mass 5271.19, q2 5.98825e+06
mass 4522.68, q2 1.54383e+06
mass 4749.03, q2 1.70424e+06
mass 3223.26, q2 3.66965e+06
mass 4049.52, q2 1.49937e+06
mass 3871.71, q2 342760
mass 3209.05, q2 1.17216e+06
mass 4459.47, q2 8.40132e+06
mass 5378.99, q2 3.91896e+06
mass 4744.79, q2 2.72171e+06
mass 3861.72, q2 7.68509e+06
mass 4406.86, q2 1.39551e+06
mass 4881.87, q2 264118
mass 4182.56, q2 731983
mass 4764.76, q2 437954
mass 4381.91, q2 2.49808e+06
mass 4556.39, q2 3.84919e+06
mass 4539.7, q2 4.19915e+06
mass 5438.99, q2 825872
mass 5138.07, q2 2.01699e+06
mass 4375.63, q2 2.87664e+06
mass 4504.51, q2 2.41778e+06
mass 3987.45, q2 6.05151e+06
mass 4573.06, q2 2.44635e+06
mass 4360.51, q2 1.62237e+06
mass 3886.03, q2 7.60195e+06
mass 4673.74, q2 1.6512e+06
mass 4841.32, q2 77683.1
mass 4746.33, q2 242665
mass 4193.89, q2 2.69243e+06
mass 4630.87, q2 1.25286e+06
mass 4762.31, q2 2.93515e+06
mass 4058.32, q2 634798
mass 4075.09, q2 8.07193e+06
mass 5012.25, q2 1.43466e+06
mass 4856.89, q2 1.25127e+06
mass 3554.84, q2 1.37232e+06
mass 4882.71, q2 4.55311e+06
mass 4942.8, q2 8.73924e+06
mass 3894.7, q2 412492
mass 3481.12, q2 1.7114e+06
mass 5191.59, q2 4.14466e+06
mass 4078.25, q2 8.92667e+06
