br	cls	clb	clsb	CLs_exp_b_med	CLs_exp_b_p1	CLs_exp_b_p2	CLs_exp_b_m1	CLs_exp_b_m2	CLb_exp_s_med	CLb_exp_s_p1	CLb_exp_s_p2	CLb_exp_s_m1	CLb_exp_s_m2
1.68e-08	0.616605227518	0.276154	0.170278	0.71224	0.5539875	0.41389010989	0.870645238095	0.968669224866	0.64596	0.262242	0.049896	0.914886	0.991622
1.69e-08	0.61282390633	0.276546	0.169474	0.711452	0.551425	0.409406593407	0.87039047619	0.968777692504	0.644968	0.263564	0.050152	0.915564	0.991604
1.7e-08	0.607006612869	0.277338	0.168346	0.709048	0.5458375	0.405362637363	0.869242857143	0.96865694551	0.646508	0.26556	0.050472	0.916126	0.991502
1.71e-08	0.607538433713	0.27645	0.167954	0.706004	0.5450625	0.405010989011	0.868995238095	0.968482987976	0.647364	0.265468	0.0507	0.915982	0.991638
1.72e-08	0.604609993136	0.27679	0.16735	0.704712	0.5433	0.401934065934	0.866954761905	0.968352008186	0.64873	0.266732	0.05122	0.916544	0.99158
1.73e-08	0.601341076627	0.276196	0.166088	0.703544	0.5380625	0.397538461538	0.866728571429	0.968317216679	0.650112	0.268232	0.051412	0.916994	0.991612
1.74e-08	0.597520422179	0.27666	0.16531	0.702608	0.5332375	0.389538461538	0.86590952381	0.968319263239	0.650622	0.269486	0.051932	0.916962	0.99167
1.75e-08	0.599028711632	0.276334	0.165532	0.700448	0.5371375	0.387956043956	0.864004761905	0.967165003837	0.65199	0.268566	0.051776	0.917922	0.991942
1.76e-08	0.593069499881	0.277094	0.164336	0.69638	0.5329125	0.399120879121	0.861869047619	0.966004604758	0.65472	0.270842	0.05166	0.918666	0.992168
1.77e-08	0.595971014493	0.276	0.164488	0.698116	0.532425	0.388659340659	0.861942857143	0.96602507035	0.652884	0.269946	0.05211	0.918958	0.992056
1.78e-08	0.592606817787	0.275984	0.16355	0.694408	0.52995	0.39156043956	0.860495238095	0.966254284983	0.654978	0.270944	0.052438	0.918858	0.992058
1.79e-08	0.592121106614	0.275724	0.163262	0.69496	0.528775	0.406769230769	0.860788095238	0.96655308263	0.65478	0.271256	0.052014	0.919284	0.992238
1.8e-08	0.585789340193	0.27599	0.161672	0.690712	0.5269875	0.39621978022	0.860071428571	0.966708621131	0.65662	0.273766	0.052032	0.919134	0.992362
1.81e-08	0.582758296104	0.276214	0.160966	0.688236	0.52435	0.395340659341	0.859428571429	0.966088513686	0.656494	0.274942	0.051908	0.919064	0.992232
1.82e-08	0.581092224231	0.2765	0.160672	0.685856	0.51965	0.383824175824	0.857804761905	0.965975952929	0.657636	0.275614	0.05254	0.920314	0.992096
1.83e-08	0.58113535222	0.27639	0.16062	0.68634	0.5245625	0.387692307692	0.855861904762	0.964348938347	0.658398	0.275562	0.051942	0.921654	0.992442
1.84e-08	0.580183267742	0.275444	0.159808	0.683524	0.5170625	0.368967032967	0.856485714286	0.964676387823	0.658884	0.275676	0.05389	0.921282	0.992256
1.85e-08	0.578956148367	0.275748	0.159646	0.68586	0.5167	0.370549450549	0.856438095238	0.964338705551	0.659456	0.276224	0.053072	0.92174	0.992362
1.86e-08	0.575743972196	0.27622	0.159032	0.682964	0.5092875	0.371164835165	0.854166666667	0.964093118445	0.660512	0.277626	0.053936	0.922502	0.992336
1.87e-08	0.575522726612	0.275096	0.158324	0.680104	0.510225	0.38356043956	0.854197619048	0.964365310821	0.660862	0.277468	0.05442	0.922638	0.99251
1.88e-08	0.575087591241	0.274	0.157574	0.681776	0.509025	0.383736263736	0.854447619048	0.963906881555	0.65977	0.277268	0.053902	0.922516	0.992556
1.89e-08	0.574214217428	0.274058	0.157368	0.680148	0.5113	0.389010989011	0.85305	0.964062420056	0.660676	0.277726	0.053254	0.921708	0.992508
1.9e-08	0.572102534142	0.27386	0.156676	0.678784	0.5076875	0.387604395604	0.852904761905	0.96323765669	0.661362	0.278318	0.053598	0.922088	0.992786
1.91e-08	0.564762624208	0.275344	0.155504	0.677008	0.5024	0.368967032967	0.850816666667	0.962695318496	0.664156	0.281628	0.054718	0.923092	0.992894
1.92e-08	0.562995966744	0.274716	0.154664	0.674796	0.4993	0.368175824176	0.850166666667	0.962228702993	0.66511	0.282324	0.054522	0.923284	0.99281
1.93e-08	0.562478657939	0.275278	0.154838	0.670596	0.4988125	0.369230769231	0.849526190476	0.961968789972	0.665816	0.28253	0.054974	0.923142	0.9925
1.94e-08	0.562696050247	0.274802	0.15463	0.673024	0.4936125	0.359736263736	0.849452380952	0.962392427731	0.664998	0.282532	0.055858	0.923792	0.992642
1.95e-08	0.560359704373	0.27467	0.153914	0.669628	0.4951	0.356747252747	0.846635714286	0.962013814275	0.666698	0.283416	0.056364	0.924176	0.992566
1.96e-08	0.556391852288	0.275022	0.15302	0.667508	0.4887875	0.360263736264	0.846278571429	0.961809158353	0.667494	0.284974	0.056706	0.924434	0.992762
1.97e-08	0.553826039586	0.27535	0.152496	0.665672	0.4907125	0.357274725275	0.844904761905	0.961915579432	0.669158	0.28608	0.057152	0.92471	0.992882
1.98e-08	0.553513458431	0.274772	0.15209	0.663188	0.492075	0.357274725275	0.844480952381	0.961942184702	0.669728	0.286032	0.056344	0.924864	0.992978
1.99e-08	0.54884514817	0.27536	0.15113	0.66038	0.484025	0.34567032967	0.842702380952	0.961547198772	0.67174	0.288038	0.05727	0.925354	0.993044
2e-08	0.550382169321	0.274224	0.150928	0.660464	0.483275	0.352	0.842923809524	0.960523919161	0.670884	0.28725	0.05765	0.92644	0.993148
2.01e-08	0.545283197369	0.274826	0.149858	0.656652	0.4758125	0.342417582418	0.842076190476	0.960392939371	0.672062	0.289336	0.058694	0.926646	0.993108
2.02e-08	0.550089478105	0.27381	0.15062	0.658232	0.4835375	0.345494505495	0.84124047619	0.960701969813	0.671426	0.287402	0.05728	0.92652	0.99305
2.03e-08	0.546207077786	0.273984	0.149652	0.655972	0.4810625	0.344703296703	0.839366666667	0.960329496035	0.673462	0.288832	0.057488	0.926918	0.9932
2.04e-08	0.546747445705	0.272678	0.149086	0.656892	0.4800875	0.335912087912	0.838616666667	0.959729854183	0.67318	0.28858	0.057948	0.927528	0.99305
2.05e-08	0.545899015588	0.273666	0.149394	0.658172	0.479875	0.335384615385	0.839721428571	0.959308262983	0.673794	0.28888	0.057834	0.927674	0.993274
2.06e-08	0.540376162731	0.273924	0.148022	0.653656	0.474775	0.330197802198	0.837957142857	0.959154771041	0.675116	0.291302	0.058684	0.92792	0.993264
2.07e-08	0.537227715547	0.27407	0.147238	0.649776	0.4715625	0.327648351648	0.835952380952	0.959279611154	0.676822	0.29264	0.058454	0.928104	0.993302
2.08e-08	0.53558151108	0.273288	0.146368	0.647232	0.47385	0.329406593407	0.833985714286	0.958583781018	0.67831	0.293328	0.05813	0.92888	0.993312
2.09e-08	0.534889672014	0.273548	0.146318	0.648064	0.4728	0.326593406593	0.834007142857	0.957900230238	0.677926	0.293466	0.058614	0.929116	0.993242
2.1e-08	0.53284098743	0.272708	0.14531	0.646704	0.4724875	0.327208791209	0.831895238095	0.956985418266	0.678438	0.294078	0.059114	0.929888	0.993434
2.11e-08	0.535253052823	0.273026	0.146138	0.648188	0.472075	0.32756043956	0.834183333333	0.958321821438	0.676708	0.29334	0.058864	0.928764	0.993292
2.12e-08	0.532358790334	0.272538	0.145088	0.647536	0.4658	0.330285714286	0.833319047619	0.957509337426	0.677522	0.294754	0.059322	0.929192	0.993428
2.13e-08	0.528512842334	0.272614	0.14408	0.643232	0.4647375	0.320615384615	0.830226190476	0.95710616526	0.679718	0.29572	0.060296	0.92998	0.993588
2.14e-08	0.526629125446	0.273122	0.143834	0.640564	0.4588125	0.321318681319	0.828885714286	0.9573149143	0.681738	0.296246	0.060386	0.930162	0.993548
2.15e-08	0.524647552089	0.27309	0.143276	0.637992	0.4582	0.317362637363	0.827107142857	0.956031721668	0.683034	0.297216	0.060846	0.93049	0.993724
2.16e-08	0.522427209294	0.27373	0.143004	0.637248	0.453625	0.320087912088	0.827307142857	0.956823740087	0.683996	0.298408	0.061282	0.930788	0.993766
